,id,age,gender,afam,asian,hispanic,white,race_other,race_not_say,education,sexuality,english,tw_use,social_media_use,prolific_hours,task_fun,task_interesting,task_boring,task_repetitive,task_important,task_depressing,task_offensive,another_tweettask,another_hatetask,page_history,date_of_first_access,date_of_last_access,duration_sec,version,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10,tw11,tw12,tw13,tw14,tw15,tw16,tw17,tw18,tw19,tw20,tw_duration_1,tw_duration_2,tw_duration_3,tw_duration_4,tw_duration_5,tw_duration_6,tw_duration_7,tw_duration_8,tw_duration_9,tw_duration_10,tw_duration_11,tw_duration_12,tw_duration_13,tw_duration_14,tw_duration_15,tw_duration_16,tw_duration_17,tw_duration_18,tw_duration_19,tw_duration_20,num_approvals,num_rejections,prolific_score,countryofbirth,currentcountryofresidence,employmentstatus,firstlanguage,nationality,studentstatus
0,580,28.0,1,0.0,1.0,0.0,0.0,0,0,4,3,1.0,1,1,30.0,0,0,1,1,0,1,0,somewhat,somewhat,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238950,6238951,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238954,6238952,6238953,6238954,6238952,6238953,6238954,6238952,6238953,6238954,6238952,6238953,6238954,6238952,6238953,6238954,6238952,6238953,6238954,6238955,6238956,6238957,6238958",2022-04-05 12:05:30,2022-04-05 12:11:21,351,F,hate speech,neither,,offensive language,offensive language,neither,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,8626.0,13512.0,19179.0,21094.0,5537.0,23773.0,7429.0,13622.0,6467.0,6177.0,5283.0,6127.0,15596.0,11021.0,6403.0,7125.0,6997.0,12704.0,6121.0,6878.0,2459.0,2.0,100.0,Korea,United States,DATA EXPIRED,English,United States,No
1,853,74.0,2,0.0,0.0,0.0,1.0,0,0,5,3,1.0,4,1,44.0,0,0,0,1,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238945,6238946,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238949,6238947,6238948,6238949,6238955,6238956,6238957,6238958",2022-04-05 16:17:26,2022-04-05 16:30:32,786,E,neither,neither,neither,neither,hate speech,hate speech,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,offensive language,hate speech,14545.0,16672.0,17587.0,8409.0,14796.0,25508.0,11480.0,32160.0,17935.0,21994.0,11979.0,14559.0,20999.0,33883.0,14076.0,13854.0,12732.0,18449.0,55457.0,10807.0,1435.0,6.0,100.0,United States,United States,Full-Time,English,United States,No
2,951,49.0,2,1.0,0.0,0.0,0.0,0,0,4,3,1.0,4,1,40.0,0,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238940,6238941,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238955,6238956,6238957,6238958",2022-04-05 16:39:45,2022-04-05 16:46:41,416,D,hate speech,neither,neither,neither,hate speech,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,9755.0,11425.0,16330.0,10948.0,6900.0,8608.0,18931.0,10711.0,11404.0,14264.0,10072.0,8570.0,10141.0,7116.0,4985.0,4895.0,11205.0,5036.0,7818.0,4425.0,2369.0,5.0,100.0,United States,United States,Other,English,United States,DATA EXPIRED
3,761,36.0,1,0.0,0.0,0.0,1.0,0,0,4,3,1.0,2,1,10.0,0,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238950,6238951,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238955,6238956,6238957,6238958",2022-04-05 12:46:00,2022-04-05 12:51:13,313,F,neither,neither,neither,neither,offensive language,neither,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,offensive language,hate speech,hate speech,neither,hate speech,8025.0,7157.0,9008.0,6194.0,8709.0,11706.0,7519.0,17464.0,9809.0,9425.0,9331.0,6725.0,12717.0,14584.0,6987.0,13710.0,9331.0,8228.0,7648.0,7201.0,533.0,2.0,100.0,United States,United States,Full-Time,English,United States,Yes
4,610,62.0,1,0.0,0.0,1.0,1.0,0,0,4,3,1.0,1,3,10.0,0,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238935,6238936,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238955,6238956,6238957,6238958",2022-04-05 12:23:41,2022-04-05 12:33:27,586,C,hate speech,neither,neither,neither,offensive language,neither,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,25196.0,16911.0,19311.0,12311.0,19447.0,42568.0,32659.0,19094.0,12506.0,20764.0,11724.0,10734.0,21684.0,10540.0,13989.0,13850.0,39989.0,8968.0,21852.0,6740.0,1178.0,2.0,100.0,Uruguay,United States,Full-Time,English,United States,DATA EXPIRED
5,423,41.0,2,,,,,0,1,5,3,1.0,2,1,20.0,1,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238940,6238941,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238955,6238956,6238957,6238958",2022-04-05 10:08:57,2022-04-05 10:20:23,686,D,hate speech,neither,hate speech,neither,hate speech,neither,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,7155.0,12184.0,6834.0,8350.0,31055.0,9821.0,18187.0,9077.0,8987.0,31213.0,8682.0,7697.0,33396.0,5457.0,4063.0,4897.0,5316.0,3855.0,5119.0,4329.0,2216.0,11.0,100.0,United States,United States,Full-Time,English,United States,No
6,847,38.0,1,0.0,0.0,0.0,1.0,0,0,4,3,1.0,4,4,2.0,0,1,0,0,0,0,0,very,somewhat,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238945,6238946,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238949,6238947,6238948,6238949,6238947,6238948,6238949,6238947,6238948,6238949,6238947,6238948,6238949,6238947,6238948,6238949,6238955,6238956,6238957,6238958",2022-04-05 16:14:01,2022-04-05 16:18:52,291,E,hate speech,neither,hate speech,neither,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,8273.0,7835.0,5436.0,4895.0,6880.0,17041.0,7377.0,13219.0,6895.0,8815.0,6197.0,10848.0,22073.0,6942.0,5888.0,11507.0,7082.0,5283.0,10114.0,5635.0,629.0,7.0,99.0,United States,United States,Full-Time,English,United States,Yes
7,389,42.0,2,0.0,0.0,0.0,1.0,0,0,2,3,1.0,1,3,20.0,0,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238929,6238930,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238955,6238956,6238957,6238958",2022-04-05 10:07:36,2022-04-05 10:17:00,564,A,neither,neither,neither,neither,offensive language,neither,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,10878.0,25225.0,8703.0,7618.0,5909.0,32997.0,9285.0,16513.0,14872.0,7993.0,7239.0,7026.0,10915.0,31680.0,9548.0,8898.0,6408.0,8620.0,7678.0,18492.0,3216.0,4.0,100.0,United States,United States,Full-Time,English,United States,No
8,112,39.0,2,0.0,0.0,0.0,1.0,0,0,3,3,1.0,1,2,10.0,1,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238932,6238933,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238955,6238956,6238957,6238958",2022-04-04 13:42:09,2022-04-04 13:47:26,317,B,neither,hate speech,neither,neither,hate speech,neither,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,14392.0,8651.0,9525.0,6448.0,9466.0,10140.0,3912.0,7415.0,8882.0,7321.0,3730.0,4203.0,11330.0,6483.0,16196.0,6723.0,9164.0,4174.0,8033.0,4878.0,958.0,6.0,99.0,United States,United States,DATA EXPIRED,English,United States,DATA EXPIRED
9,1,34.0,1,0.0,0.0,0.0,1.0,0,0,4,3,1.0,1,1,1.0,0,0,0,0,1,1,1,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238929,6238930,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238955,6238956,6238957,6238958",2022-03-29 15:31:48,2022-03-29 15:35:29,221,A,hate speech,neither,hate speech,neither,hate speech,hate speech,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,3640.0,7203.0,3500.0,5223.0,3440.0,10975.0,3312.0,4370.0,3396.0,3954.0,3734.0,4067.0,10996.0,5116.0,3278.0,3495.0,4073.0,3077.0,4662.0,3262.0,1585.0,3.0,100.0,United States,United States,DATA EXPIRED,English,United States,DATA EXPIRED
